metric,territory,gender,age,count
Eligible participants,New South Wales,Female,80-84 years,81879
Participation rate (%),New South Wales,Female,80-84 years,86.2
Total participants,Victoria,Female,80-84 years,52672
Eligible participants,Victoria,Female,80-84 years,62018
Participation rate (%),Victoria,Female,80-84 years,84.9
Total participants,Queensland,Female,80-84 years,37422
Eligible participants,Queensland,Female,80-84 years,43192
Participation rate (%),Queensland,Female,80-84 years,86.6
Total participants,South Australia,Female,80-84 years,17740
Eligible participants,South Australia,Female,80-84 years,20536
Participation rate (%),South Australia,Female,80-84 years,86.4
Total participants,Western Australia,Female,80-84 years,18891
Eligible participants,Western Australia,Female,80-84 years,21879
Participation rate (%),Western Australia,Female,80-84 years,86.3
Total participants,Tasmania,Female,80-84 years,5618
Eligible participants,Tasmania,Female,80-84 years,6480
Participation rate (%),Tasmania,Female,80-84 years,86.7
Total participants,Northern Territory,Female,80-84 years,438
Eligible participants,Northern Territory,Female,80-84 years,630
Participation rate (%),Northern Territory,Female,80-84 years,69.5
Total participants,Australian Capital Territory,Female,80-84 years,2822
Eligible participants,Australian Capital Territory,Female,80-84 years,3257
Participation rate (%),Australian Capital Territory,Female,80-84 years,86.6
Total participants,Australia,Female,80-84 years,206186
Eligible participants,Australia,Female,80-84 years,239871
Participation rate (%),Australia,Female,80-84 years,86
Total participants,New South Wales,Female,85 years and over,74012
Eligible participants,New South Wales,Female,85 years and over,93521
Participation rate (%),New South Wales,Female,85 years and over,79.1
Total participants,Victoria,Female,85 years and over,53923
Eligible participants,Victoria,Female,85 years and over,69272
Participation rate (%),Victoria,Female,85 years and over,77.8
Total participants,Queensland,Female,85 years and over,36457
Eligible participants,Queensland,Female,85 years and over,45870
Participation rate (%),Queensland,Female,85 years and over,79.5
Total participants,South Australia,Female,85 years and over,19452
Eligible participants,South Australia,Female,85 years and over,24860
Participation rate (%),South Australia,Female,85 years and over,78.2
Total participants,Western Australia,Female,85 years and over,17956
Eligible participants,Western Australia,Female,85 years and over,22618
Participation rate (%),Western Australia,Female,85 years and over,79.4
Total participants,Tasmania,Female,85 years and over,5398
Eligible participants,Tasmania,Female,85 years and over,6810
Participation rate (%),Tasmania,Female,85 years and over,79.3
Total participants,Northern Territory,Female,85 years and over,332
Eligible participants,Northern Territory,Female,85 years and over,528
Participation rate (%),Northern Territory,Female,85 years and over,62.9
Total participants,Australian Capital Territory,Female,85 years and over,2761
Eligible participants,Australian Capital Territory,Female,85 years and over,3549
Participation rate (%),Australian Capital Territory,Female,85 years and over,77.8
Total participants,Australia,Female,85 years and over,210291
Eligible participants,Australia,Female,85 years and over,267028
Participation rate (%),Australia,Female,85 years and over,78.8
